Equation	y = a + b*x						
Weight	No Weighting						
Residual Sum of Squares	3.96705853789697E-10	1.01391604975017E-9	8.59362021184414E-10	9.87796859622844E-8	1.64943213449689E-9	2.15926577036095E-8	2.81869636801633E-7
Adj. R-Square	0.99999803982033	0.999998099281991	0.999999417784847	0.999998371735431	0.999999629785975	0.999998571814296	0.99999916763225
		Value	Standard Error				
s1	Intercept	-2.64463793618429E-7	5.65523156848284E-9				
s1	Slope	0.393389609552207	7.78908150875085E-6				
s2	Intercept	-4.11723113645643E-7	9.04101286780458E-9				
s2	Slope	0.638673192522838	1.24523965634686E-5				
s3	Intercept	-3.09919878528696E-7	8.32346517337477E-9				
s3	Slope	1.06238797371111	1.14641014935588E-5				
s4	Intercept	4.2848308130978E-6	8.92380165872135E-8				
s4	Slope	6.81095368298297	1.22909588486319E-4				
s5	Intercept	3.98473309726568E-7	1.15314339062679E-8				
s5	Slope	1.84577031900781	1.58825111794299E-5				
s6	Intercept	1.9575627818551E-6	4.17223861809368E-8				
s6	Slope	3.4001442750857	5.7465209473302E-5				
s7	Intercept	7.24758922318949E-6	1.50744069873817E-7				
s7	Slope	16.0917505189129	2.07623301183932E-4				
