Model	Allometric1						
Equation	y = a*x^b						
Reduced Chi-Sqr	8.48375358131878	5.26968726010254	4.46647098439302	0.0604205227267126	4.09221562204049	0.772095130268818	0.00180659739550902
Adj. R-Square	0.999834199159557	0.99998721432069	0.999984872969147	0.999927147354679	0.999941365453041	0.999916690622412	0.999964854293197
		Value	Standard Error				
A1	a	0.034002303941635	8.60363073557951E-5				
A1	b	-1.01604838547552	2.65476421885061E-4				
A2	a	0.110475332261599	7.6287291493475E-5				
A2	b	-1.00227852717198	7.24977158438179E-5				
A3	a	0.10054124233102	7.48165874983499E-5				
A3	b	-0.994880230814295	7.81532736514797E-5				
A4	a	0.00521728193512268	8.54472400396608E-6				
A4	b	-0.997012363323735	1.71989549468672E-4				
A5	a	0.0494534712249131	7.23505573116724E-5				
A5	b	-0.993681261967453	1.53661165272809E-4				
A6	a	0.0177320826256448	3.09893577082149E-5				
A6	b	-0.995321936553314	1.83542640849648E-4				
A7	a	0.00128365606096352	1.46235033113974E-6				
A7	b	-0.998221067152376	1.19625986520756E-4				
